"country","iso2c","id","year","membership","wdi_gdp_growth","wdi_npl_ratio","wdi_risk_premium_lending","wdi_domestic_credit","wdi_liquid_reserves_ratio","grouping"
"Estonia","EE","EST",2010,"SSM",2.47685878829682,5.37548640053779,NA,96.1977529306084,6.22932783221592,"Baltic"
"Estonia","EE","EST",2011,"SSM",8.27562507977611,4.0453074433657,NA,83.4198479983565,2.7705112960761,"Baltic"
"Estonia","EE","EST",2012,"SSM",4.65020588598956,2.62266659520885,NA,76.1876357962252,9.62156035514136,"Baltic"
"Estonia","EE","EST",2013,"SSM",1.63010371774261,1.47462231497043,NA,71.6001024612035,8.98883532098452,"Baltic"
"Spain","ES","ESP",2005,"SSM",3.72303870784567,0.794,NA,155.567901685641,1.12726248625103,"Southern Europe"
"Spain","ES","ESP",2006,"SSM",4.17412628443334,0.701,NA,173.208733558604,1.13088234566088,"Southern Europe"
"Spain","ES","ESP",2007,"SSM",3.76894641993215,0.897,NA,192.638463666501,2.40286317351904,"Southern Europe"
"Spain","ES","ESP",2008,"SSM",1.11592541894927,2.80769369127483,NA,209.012217267944,2.25948252587807,"Southern Europe"
"Spain","ES","ESP",2009,"SSM",-3.57379948521334,4.1210313362269,NA,222.490857563339,1.44576238224261,"Southern Europe"
"Spain","ES","ESP",2010,"SSM",0.0138086474303663,4.66837213164141,NA,227.492036824425,1.09688053748936,"Southern Europe"
"Spain","ES","ESP",2011,"SSM",-0.61762602591115,6.00728103382975,NA,228.377514888662,2.11423967443349,"Southern Europe"
"Spain","ES","ESP",2012,"SSM",-2.08873763315489,7.48390355952545,NA,220.279806436572,3.26237964843296,"Southern Europe"
"Spain","ES","ESP",2013,"SSM",-1.22995797410435,9.38062712840699,NA,205.079199871138,1.55351251076165,"Southern Europe"
"Finland","FI","FI1",2005,"SSM",2.77995503757889,0.3,NA,74.2005146392355,2.07779841534808,"Nordic"
"Finland","FI","FI1",2006,"SSM",4.05519743045375,0.2,NA,79.1332105159489,1.94850886814711,"Nordic"
"Finland","FI","FI1",2007,"SSM",5.18480080924803,0.3,NA,82.0504437679544,2.76408467172402,"Nordic"
"Finland","FI","FI1",2008,"SSM",0.720668512407372,0.4,NA,84.2585088095152,3.48916251495048,"Nordic"
"Finland","FI","FI1",2009,"SSM",-8.26903654431229,0.6,NA,93.4043716752564,5.38174506352152,"Nordic"
"Finland","FI","FI1",2010,"SSM",2.9923374825745,0.6,NA,96.788882950294,7.55835827129046,"Nordic"
"Finland","FI","FI1",2011,"SSM",2.57081773616463,0.5,NA,97.7096444844033,22.8580423383058,"Nordic"
"Finland","FI","FI1",2012,"SSM",-1.45849617872868,0.5,NA,101.725030014719,23.4784791464104,"Nordic"
